Scenario - mult1A.sce
Logfile written - 06/28/2017 12:19:55

Subject	Trial	Event Type	Code	block(str)	triplet(str)	object(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
00	308	Picture	t22;8	t22;8			3170007	0	1	8105	1	0	8000	other	0
00	309	Picture	t2;8	t2;8			3180113	0	1	8105	1	0	8000	other	0
00	310	Picture	t16;8	t16;8			3190220	0	1	8105	1	0	8000	other	0
00	311	Picture	t14;2	t14;2			3200326	0	1	8105	1	0	8000	other	0
00	312	Picture	t8;2	t8;2			3210433	0	1	8105	1	0	8000	other	0
00	313	Picture	t6;2	t6;2			3220539	0	1	8105	1	0	8000	other	0
00	314	Picture	t13;6	t13;6			3230645	0	1	8105	1	0	8000	other	0
00	315	Picture	t12;6	t12;6			3240752	0	1	8105	1	0	8000	other	0
00	316	Picture	t3;6	t3;6			3250858	0	1	8105	1	0	8000	other	0
00	317	Picture	t22;8	t22;8			3260965	0	1	8105	1	0	8000	other	0
00	318	Picture	t2;8	t2;8			3271071	0	1	8105	1	0	8000	other	0
00	319	Picture	t16;8	t16;8			3281178	0	1	8105	1	0	8000	other	0
00	320	Picture	t5;1	t5;1			3291284	0	1	8105	1	0	8000	other	0
00	321	Picture	t21;1	t21;1			3301390	0	1	8105	1	0	8000	other	0
00	322	Picture	t18;1	t18;1			3311497	0	1	8105	1	0	8000	other	0
00	323	Picture	t20;4	t20;4			3321603	0	1	8105	1	0	8000	other	0
00	324	Picture	t15;4	t15;4			3331710	0	1	8105	1	0	8000	other	0
00	325	Picture	t7;4	t7;4			3341816	0	1	8105	1	0	8000	other	0
00	326	Picture	t1;5	t1;5			3351922	0	1	8105	1	0	8000	other	0
00	327	Picture	t4;5	t4;5			3362029	0	1	8105	1	0	8000	other	0
00	328	Picture	t9;5	t9;5			3372135	0	1	8105	1	0	8000	other	0
00	329	Picture	t14;2	t14;2			3382242	0	1	8105	1	0	8000	other	0
00	330	Picture	t8;2	t8;2			3392348	0	1	8105	1	0	8000	other	0
00	331	Picture	t6;2	t6;2			3402455	0	1	8105	1	0	8000	other	0
00	332	Picture	t24;3	t24;3			3412561	0	1	8105	1	0	8000	other	0
00	333	Picture	t10;3	t10;3			3422667	0	1	8105	1	0	8000	other	0
00	334	Picture	t19;3	t19;3			3432774	0	1	8105	1	0	8000	other	0
00	335	Picture	t11;7	t11;7			3442880	0	1	8105	1	0	8000	other	0
00	336	Picture	t23;7	t23;7			3452987	0	1	8105	1	0	8000	other	0
00	337	Picture	t17;7	t17;7			3463093	0	1	8105	1	0	8000	other	0
00	338	Picture	t14;2	t14;2			3473200	0	1	8105	1	0	8000	other	0
00	339	Picture	t8;2	t8;2			3483306	0	1	8105	1	0	8000	other	0
00	340	Picture	t6;2	t6;2			3493412	0	1	8105	1	0	8000	other	0
